Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Bahia (BA),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,Acúmulo de pontos,,,,,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Pepsi,,Pepsi,Ganhei dois selos,"Sim, gastaria e trocaria pelo microondas",,Por que e mais vantagem o microondas,Apenas comércio,Na mesma semana,Não,R$200,1,1
Rio Grande do Sul (RS),18 a 25 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,,,,,,,,Nenhum,,,,,,,,Nenhum,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Um bom mecanismo.,"Não, fico com a sanduicheira",Falta de dinheiro.,,,No mesmo dia,Sim,R$50,1,1
Paraíba (PB),mais de 55 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",Extra,,,,,,,,,,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,"Sim, já recebi descontos na loja",,,,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Fidelizar o Cliente.,"Sim, gastaria e trocaria pelo microondas",,Por que o microondas tem um valor bem maior que a sanduicheira.,"São campanhas que visam atrair os clientes, visando aumentar o consumo e gerar maior lucratividade às empresas.",No mesmo dia,Provavelmente,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,iFood,,,,Uber,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Terminal de auto atendimento na loja,,Cashback,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,Acúmulo de milhas,,,"Sim, já resgatei um produto",,,,,"Cupons de desconto no BIG,Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,"Que a cada 20 reais em compras, tirando o eletro, eu ganho um selo.","Sim, gastaria e trocaria pelo microondas",,Porque o micro-ondas é mais interessante do que uma sanduicheira.,"Acho Bem legal, e ficaria um convite ao cliente para visitar a loja.",No mesmo dia,Não,R$100,1,1
Paraíba (PB),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,,,,,,,Cartão fidelidade,,,,Cupons de desconto,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,"A cada 20,00 eu ganho um selo direto no caixa e ao encher a cartela eu posso troca por mercadorias","Sim, gastaria e trocaria pelo microondas",,Por que eu uso mais micro ondas,Interessante,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,Carrefour,,,,,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Coca-Cola com selos em dobro,Não entendi muito bem por só ter 2 selos na nota fiscal mas seria ótimo se a cada $20 reais gerar um 1 ponto.,"Sim, gastaria e trocaria pelo microondas",,"Poderia ser que sim! Trocaria pela sanduicheira mas se com mais 20 selos, que equivale a $100 reais, porque nao trocar no micro-ondas logo.",Ótimo! E seria muito atrativo se todo final de semana ou de 15 em 15 dias tivesse selos e promoções convidativas.,Em até 2 meses,Sim,R$100,1,1
Pernambuco (PE),35 a 45 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Bom,"Sim, gastaria e trocaria pelo microondas",,Sou +micro,Bom,No mesmo dia,Sim,R$200,1,1
São Paulo (SP),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,Cornershop,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto",,"Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Pepsi,,Coca-Cola com selos em dobro,"Que eu adquiri 2 Pepsi 3L no valor total de R$44,95 e com isso tenho direito a receber 2 selos.","Sim, gastaria e trocaria pelo microondas",,No momento seria pq quebrou o microondas daqui de casa e ele faz muitaaa falta :(,Eu gosto :) é animador,No mesmo dia,Depende da campanha,R$50,1,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Não entendo deveria ser uma coisa mas fácil,"Sim, gastaria e trocaria pelo microondas",,Porque não,Nada,No mesmo dia,Não,R$200,0,0
Pernambuco (PE),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,Cashback,Cupons de desconto,,,,,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Não sei,"Sim, gastaria e trocaria pelo microondas",,Por que queria a sanduicheira,Não gosto,No mesmo dia,Depende da campanha,R$100,1,1
Paraíba (PB),45 a 55 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,Americanas Mercado,,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,,,Acúmulo de milhas,,,,Cashback,,,,Acúmulo de milhas,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Nada,"Sim, gastaria e trocaria pelo microondas",,Porque não uso esse produto.,Chato e sem futuro.,No mesmo dia,Sim,R$50,0,1
Pernambuco (PE),mais de 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Cupons de desconto no BIG,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,excelente ideia,"Sim, gastaria e trocaria pelo microondas",,por que estou precisando do micro-ondas,excelente,Na mesma semana,Provavelmente,R$100,1,1
Pernambuco (PE),45 a 55 anos,1 a 3 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,Cartela de selinhos,Cashback,Cupons de desconto,,Acúmulo de pontos,,,,Cartela de selinhos,,Cupons de desconto,,,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Cupons de desconto no BIG,Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Não acho válido excluir o setor de eletro,"Sim, gastaria e trocaria pelo microondas",,Seria mais vantajoso conprar mais e trocar pelo microondas,Acho válido,No mesmo dia,Depende da campanha,R$100,1,1
Pernambuco (PE),45 a 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,Pão de Açúcar,,,,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras",Coca-Cola,Coca-Cola,,Que eu teria um valche para gastar na loga BIG,"Sim, gastaria e trocaria pelo microondas",,O microondas tem mais utilidades,Muito bom,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,,,,,,,Cashback,Cupons de desconto,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Juntar selos pra trocar por algum produto,"Sim, gastaria e trocaria pelo microondas",,O microondas tem mais utilidade,São boas,No mesmo dia,Depende da campanha,R$50,1,1
Rio Grande do Sul (RS),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Coca-Cola,Coca-Cola,,"Não entendo nada, pois nunca participei  de algum programa assim","Sim, gastaria e trocaria pelo microondas",,Prq sanduíches podem ser servidos frios em temperatura ambiente e no micro vcs faz várias receitas vai além do sanduíche,Não acho atrativo,No mesmo dia,Sim,R$100,0,1
Rio Grande do Sul (RS),35 a 45 anos,Mais de 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,,,Ativação de ofertas em aplicativos,,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Que ele ganhou 2 selos,"Sim, gastaria e trocaria pelo microondas",,Pq eu nao tenho microondas,Legal,No mesmo dia,Depende da campanha,R$200,1,1
Rio Grande do Sul (RS),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Terminal de auto atendimento na loja,,Cashback,,,Acúmulo de pontos,,Cartão fidelidade,,,,,,Acúmulo de pontos,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Pela compra da pepsi.,"Sim, gastaria e trocaria pelo microondas",,Pq o micro ondas é mais util e se tornaria mais barato,Necessárias,Na mesma semana,Sim,R$100,1,1
Paraná (PR),45 a 55 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,,,,,,,Cashback,,,,,,,,"Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,"desconto de R$ 20,00","Não, fico com a sanduicheira","desconto de R$ 20,00",,,Na mesma semana,Provavelmente,R$100,1,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,Carrefour,Pão de Açúcar,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Pepsi,,Pepsi,Não acho legal,"Não, fico com a sanduicheira",Desnecessário,,,No mesmo dia,Sim,R$100,0,0
São Paulo (SP),mais de 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,,,Americanas Mercado,Uber,,Andreazza,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,,,,,,Cartela de selinhos,,,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Cupons de descontos em lojas parceiras,Eletrodomésticos,Cupons de desconto no BIG,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...)",Nenhum deles,,,Ganhei 2 selos,"Sim, gastaria e trocaria pelo microondas",,Um produto que já tenho,São boas.,Na mesma semana,Provavelmente,R$50,1,1
Minas Gerais (MG),mais de 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Fazer o cadastro no próprio caixa,,,,Ativação de ofertas em aplicativos,,,,,,Cashback,,Ativação de ofertas em aplicativos,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,"Vou lhe ser honesto, não entendo nada, só pago a cartão no vencimento, quem comanda isto aqui, e Minha esposa.","Sim, gastaria e trocaria pelo microondas",,"Devido ao corona vírus, pertenso ao grupo de risco, pois tenho 66 anos, entendo muito de infermagem, por isso, no momento não estou saindo muito de casa, para manter o isolamento, mas se eu tiver direito, o qual eu nem sei se tenho,  e só me falar que vou até la, pia não tenho nenhum conhecimento que tenho ou não tenho direito.,","Vou lhe responder,  um pouco fora da pergunta, mas assim como eu, as vezes me desânimo de ir até o BIG, porque , não concordo em pagar estacionamento, sendo que, eu fui até aí, para gastar, não para passear, um Sr. de 66 anos não sou muito de Shoping. pense, o que vcs va o deixar de arrecadar no estacionamento,  vai aumentar as vendas em todas as lojas.",,Provavelmente,R$400,1,1
Ceará (CE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,Cupons de desconto,,,Acúmulo de milhas,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Pepsi,,Coca-Cola com selos em dobro,Nada,"Sim, gastaria e trocaria pelo microondas",,Por está precisando do microondas,Bacana,No mesmo dia,Provavelmente,R$50,0,0
Bahia (BA),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos",Coca-Cola,Pepsi com selos em dobro,,Os programas chamam a atenção dos clientes para as promoções.,"Sim, gastaria e trocaria pelo microondas",,Porque o micro-ondas é mais interessante,Acho essencial para atrair os cliente e fidelizalos,No mesmo dia,Sim,R$50,1,1
Rio Grande do Sul (RS),18 a 25 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),,Cadastro pelo app,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta",,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Que está caro,"Sim, gastaria e trocaria pelo microondas",,Vale mais a pena o microondas,Boa idéia,No mesmo dia,Depende da campanha,R$400,1,1
Pernambuco (PE),45 a 55 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),Acúmulo de pontos para troca por produtos ou cupons de desconto,Fazer o cadastro no próprio caixa,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG,Eletrodomésticos",Coca-Cola,Coca-Cola,,Acho ótimo pois irei resgatar os pontos  com trocando por brindes.,"Sim, gastaria e trocaria pelo microondas",,o micro-ondas é uma peça que ainda não tenho em casa.,Acho louvável principalmente neste exato momento.,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,iFood,Cornershop,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,,Acúmulo de milhas,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Nada,"Sim, gastaria e trocaria pelo microondas",,...,Ótimo,Na mesma semana,Sim,R$50,0,1
